Order ID,Product,Quantity Ordered,Price Each,Order Date,City,State,ZIP Code
176558,USB-C Charging Cable,2,11.95,2019-04-19 08:46:00,Dallas,TX,75001
176559,Bose SoundSport Headphones,1,99.99,2019-04-07 22:30:00,Boston,MA,02215
176560,Google Phone,1,600.0,2019-04-12 14:38:00,Los Angeles,CA,90001
176560,Wired Headphones,1,11.99,2019-04-12 14:38:00,Los Angeles,CA,90001
176561,Wired Headphones,1,11.99,2019-04-30 09:27:00,Los Angeles,CA,90001
176562,USB-C Charging Cable,1,11.95,2019-04-29 13:03:00,San Francisco,CA,94016
176563,Bose SoundSport Headphones,1,99.99,2019-04-02 07:46:00,Seattle,WA,98101
176564,USB-C Charging Cable,1,11.95,2019-04-12 10:58:00,Atlanta,GA,30301
176565,Macbook Pro Laptop,1,1700.0,2019-04-24 10:38:00,San Francisco,CA,94016
176566,Wired Headphones,1,11.99,2019-04-08 14:05:00,Boston,MA,02215
176567,Google Phone,1,600.0,2019-04-18 17:18:00,Los Angeles,CA,90001
176568,Lightning Charging Cable,1,14.95,2019-04-15 12:18:00,Seattle,WA,98101
176569,27in 4K Gaming Monitor,1,389.99,2019-04-16 19:23:00,Dallas,TX,75001
176570,AA Batteries (4-pack),1,3.84,2019-04-22 15:09:00,Dallas,TX,75001
176571,Lightning Charging Cable,1,14.95,2019-04-19 14:29:00,Atlanta,GA,30301
176572,Apple Airpods Headphones,1,150.0,2019-04-04 20:30:00,New York City,NY,10001
176573,USB-C Charging Cable,1,11.95,2019-04-27 18:41:00,San Francisco,CA,94016
176574,Google Phone,1,600.0,2019-04-03 19:42:00,Los Angeles,CA,90001
176574,USB-C Charging Cable,1,11.95,2019-04-03 19:42:00,Los Angeles,CA,90001
176575,AAA Batteries (4-pack),1,2.99,2019-04-27 00:30:00,New York City,NY,10001
176576,Apple Airpods Headphones,1,150.0,2019-04-28 11:42:00,Los Angeles,CA,90001
176577,Apple Airpods Headphones,1,150.0,2019-04-04 19:25:00,Dallas,TX,75001
176578,Apple Airpods Headphones,1,150.0,2019-04-09 23:35:00,Boston,MA,02215
176579,AA Batteries (4-pack),1,3.84,2019-04-11 10:23:00,New York City,NY,10001
176580,USB-C Charging Cable,1,11.95,2019-04-05 00:35:00,Los Angeles,CA,90001
176581,iPhone,1,700.0,2019-04-09 21:38:00,Boston,MA,02215
176582,Bose SoundSport Headphones,1,99.99,2019-04-27 12:20:00,Atlanta,GA,30301
176583,AAA Batteries (4-pack),2,2.99,2019-04-20 12:00:00,Portland,OR,97035
176584,Flatscreen TV,1,300.0,2019-04-24 20:39:00,San Francisco,CA,94016
176585,Bose SoundSport Headphones,1,99.99,2019-04-07 11:31:00,Boston,MA,02215
176585,Bose SoundSport Headphones,1,99.99,2019-04-07 11:31:00,Boston,MA,02215
176586,AAA Batteries (4-pack),2,2.99,2019-04-10 17:00:00,San Francisco,CA,94016
176586,Google Phone,1,600.0,2019-04-10 17:00:00,San Francisco,CA,94016
176587,27in FHD Monitor,1,149.99,2019-04-29 19:38:00,Los Angeles,CA,90001
176588,20in Monitor,1,109.99,2019-04-02 04:00:00,Seattle,WA,98101
176589,Lightning Charging Cable,1,14.95,2019-04-04 12:23:00,Atlanta,GA,30301
176590,Google Phone,1,600.0,2019-04-11 11:46:00,New York City,NY,10001
176591,Apple Airpods Headphones,1,150.0,2019-04-21 07:21:00,Austin,TX,73301
176592,USB-C Charging Cable,1,11.95,2019-04-27 13:04:00,Los Angeles,CA,90001
176593,Lightning Charging Cable,2,14.95,2019-04-15 13:45:00,Portland,OR,97035
176594,Wired Headphones,1,11.99,2019-04-17 23:04:00,San Francisco,CA,94016
176595,Wired Headphones,3,11.99,2019-04-02 09:11:00,Los Angeles,CA,90001
176596,Apple Airpods Headphones,1,150.0,2019-04-27 20:11:00,Dallas,TX,75001
176597,USB-C Charging Cable,1,11.95,2019-04-19 13:39:00,San Francisco,CA,94016
176598,AAA Batteries (4-pack),2,2.99,2019-04-21 20:33:00,San Francisco,CA,94016
176599,Lightning Charging Cable,1,14.95,2019-04-11 15:25:00,New York City,NY,10001
176600,27in 4K Gaming Monitor,1,389.99,2019-04-30 15:54:00,Boston,MA,02215
176601,USB-C Charging Cable,1,11.95,2019-04-02 22:32:00,Los Angeles,CA,90001
176602,Lightning Charging Cable,1,14.95,2019-04-30 09:39:00,Dallas,TX,75001
176603,USB-C Charging Cable,1,11.95,2019-04-01 07:46:00,San Francisco,CA,94016
176604,USB-C Charging Cable,1,11.95,2019-04-02 10:57:00,San Francisco,CA,94016
176605,USB-C Charging Cable,1,11.95,2019-04-15 16:29:00,San Francisco,CA,94016
176606,LG Dryer,1,600.0,2019-04-21 14:16:00,San Francisco,CA,94016
176607,AAA Batteries (4-pack),2,2.99,2019-04-18 12:11:00,Boston,MA,02215
176608,iPhone,1,700.0,2019-04-11 12:01:00,San Francisco,CA,94016
176609,Apple Airpods Headphones,1,150.0,2019-04-11 16:59:00,Austin,TX,73301
176610,AAA Batteries (4-pack),1,2.99,2019-04-26 00:40:00,Dallas,TX,75001
176611,Bose SoundSport Headphones,1,99.99,2019-04-30 13:16:00,San Francisco,CA,94016
176612,Apple Airpods Headphones,1,150.0,2019-04-04 19:48:00,Seattle,WA,98101
176613,USB-C Charging Cable,2,11.95,2019-04-26 18:58:00,New York City,NY,10001
176614,AA Batteries (4-pack),1,3.84,2019-04-07 21:01:00,San Francisco,CA,94016
176615,Lightning Charging Cable,1,14.95,2019-04-30 10:35:00,Dallas,TX,75001
176616,USB-C Charging Cable,1,11.95,2019-04-05 20:40:00,San Francisco,CA,94016
176617,Apple Airpods Headphones,1,150.0,2019-04-25 08:03:00,Portland,OR,97035
