Order ID,Product,Quantity Ordered,Price Each,Order Date,City,State,ZIP Code
236670,Wired Headphones,2,11.99,2019-08-31 22:21:00,Seattle,WA,98101
236671,Bose SoundSport Headphones,1,99.99,2019-08-15 15:11:00,Dallas,TX,75001
236672,iPhone,1,700.0,2019-08-06 14:40:00,Portland,OR,97035
236673,AA Batteries (4-pack),2,3.84,2019-08-29 20:59:00,Los Angeles,CA,90001
236674,AA Batteries (4-pack),2,3.84,2019-08-15 19:53:00,New York City,NY,10001
236675,Wired Headphones,1,11.99,2019-08-02 23:54:00,San Francisco,CA,94016
236676,34in Ultrawide Monitor,1,379.99,2019-08-04 19:52:00,Los Angeles,CA,90001
236677,20in Monitor,1,109.99,2019-08-13 07:16:00,San Francisco,CA,94016
236678,Wired Headphones,1,11.99,2019-08-25 20:11:00,San Francisco,CA,94016
236679,Macbook Pro Laptop,1,1700.0,2019-08-07 15:43:00,Los Angeles,CA,90001
236680,LG Washing Machine,1,600.0,2019-08-09 19:38:00,San Francisco,CA,94016
236681,AA Batteries (4-pack),1,3.84,2019-08-26 20:52:00,Boston,MA,02215
236682,AA Batteries (4-pack),1,3.84,2019-08-19 12:40:00,Portland,OR,97035
236683,27in FHD Monitor,1,149.99,2019-08-31 15:47:00,Dallas,TX,75001
236684,Lightning Charging Cable,1,14.95,2019-08-09 16:50:00,New York City,NY,10001
236685,Apple Airpods Headphones,1,150.0,2019-08-23 19:29:00,Atlanta,GA,30301
236686,AAA Batteries (4-pack),1,2.99,2019-08-15 19:13:00,Dallas,TX,75001
236687,USB-C Charging Cable,1,11.95,2019-08-23 12:54:00,New York City,NY,10001
236688,34in Ultrawide Monitor,1,379.99,2019-08-08 16:06:00,Los Angeles,CA,90001
236689,AAA Batteries (4-pack),1,2.99,2019-08-21 10:55:00,San Francisco,CA,94016
236690,AAA Batteries (4-pack),1,2.99,2019-08-08 12:00:00,San Francisco,CA,94016
236691,USB-C Charging Cable,1,11.95,2019-08-23 07:34:00,Boston,MA,02215
236692,USB-C Charging Cable,1,11.95,2019-08-20 13:26:00,San Francisco,CA,94016
236693,27in 4K Gaming Monitor,1,389.99,2019-08-12 21:57:00,Portland,OR,97035
236694,Apple Airpods Headphones,1,150.0,2019-08-14 23:45:00,New York City,NY,10001
236695,Bose SoundSport Headphones,1,99.99,2019-08-04 19:06:00,San Francisco,CA,94016
236696,Lightning Charging Cable,1,14.95,2019-08-21 00:48:00,New York City,NY,10001
236697,AA Batteries (4-pack),1,3.84,2019-08-25 23:13:00,San Francisco,CA,94016
236698,Wired Headphones,1,11.99,2019-08-07 13:40:00,Dallas,TX,75001
236699,AA Batteries (4-pack),2,3.84,2019-08-20 21:07:00,Atlanta,GA,30301
236700,Wired Headphones,1,11.99,2019-08-09 08:55:00,Los Angeles,CA,90001
236701,Apple Airpods Headphones,1,150.0,2019-08-06 10:36:00,San Francisco,CA,94016
236702,ThinkPad Laptop,1,999.99,2019-08-23 11:10:00,Dallas,TX,75001
236703,Bose SoundSport Headphones,1,99.99,2019-08-08 06:09:00,Atlanta,GA,30301
236704,Flatscreen TV,1,300.0,2019-08-11 08:52:00,San Francisco,CA,94016
236705,AA Batteries (4-pack),3,3.84,2019-08-11 22:21:00,Austin,TX,73301
236706,Google Phone,1,600.0,2019-08-14 14:19:00,San Francisco,CA,94016
236707,AA Batteries (4-pack),2,3.84,2019-08-14 14:06:00,Los Angeles,CA,90001
236708,Apple Airpods Headphones,1,150.0,2019-08-27 14:00:00,San Francisco,CA,94016
236709,iPhone,1,700.0,2019-08-04 09:00:00,San Francisco,CA,94016
236710,Macbook Pro Laptop,1,1700.0,2019-08-04 02:46:00,Austin,TX,73301
236711,Macbook Pro Laptop,1,1700.0,2019-08-28 17:28:00,Dallas,TX,75001
236712,AA Batteries (4-pack),2,3.84,2019-08-30 07:14:00,Boston,MA,02215
236713,27in FHD Monitor,1,149.99,2019-08-05 20:00:00,San Francisco,CA,94016
236714,27in 4K Gaming Monitor,1,389.99,2019-08-30 09:07:00,Atlanta,GA,30301
236715,27in 4K Gaming Monitor,1,389.99,2019-08-23 11:20:00,Portland,OR,97035
236716,AA Batteries (4-pack),2,3.84,2019-08-17 20:12:00,San Francisco,CA,94016
236716,USB-C Charging Cable,1,11.95,2019-08-17 20:12:00,San Francisco,CA,94016
236717,Google Phone,1,600.0,2019-08-11 12:26:00,Atlanta,GA,30301
236718,Apple Airpods Headphones,1,150.0,2019-08-10 13:48:00,San Francisco,CA,94016
236719,AAA Batteries (4-pack),1,2.99,2019-08-05 12:09:00,Atlanta,GA,30301
236720,Apple Airpods Headphones,1,150.0,2019-08-24 16:49:00,Dallas,TX,75001
236721,Apple Airpods Headphones,1,150.0,2019-08-02 12:24:00,Seattle,WA,98101
236722,AAA Batteries (4-pack),2,2.99,2019-08-07 12:42:00,San Francisco,CA,94016
236723,Apple Airpods Headphones,1,150.0,2019-08-01 18:56:00,New York City,NY,10001
236724,Apple Airpods Headphones,1,150.0,2019-08-21 01:08:00,San Francisco,CA,94016
236725,AAA Batteries (4-pack),3,2.99,2019-08-24 20:15:00,San Francisco,CA,94016
236726,AA Batteries (4-pack),1,3.84,2019-08-29 09:25:00,Boston,MA,02215
236727,USB-C Charging Cable,1,11.95,2019-08-19 08:10:00,New York City,NY,10001
236728,ThinkPad Laptop,1,999.99,2019-08-10 11:21:00,Portland,ME,04101
236729,iPhone,1,700.0,2019-08-09 09:28:00,San Francisco,CA,94016
236729,Apple Airpods Headphones,1,150.0,2019-08-09 09:28:00,San Francisco,CA,94016
236730,Google Phone,1,600.0,2019-08-02 10:17:00,New York City,NY,10001
236730,Wired Headphones,1,11.99,2019-08-02 10:17:00,New York City,NY,10001
236731,AAA Batteries (4-pack),1,2.99,2019-08-29 12:40:00,San Francisco,CA,94016
236732,Flatscreen TV,1,300.0,2019-08-09 13:35:00,Dallas,TX,75001
236733,Apple Airpods Headphones,1,150.0,2019-08-08 10:21:00,Dallas,TX,75001
236734,AA Batteries (4-pack),2,3.84,2019-08-14 16:52:00,Dallas,TX,75001
236735,Apple Airpods Headphones,1,150.0,2019-08-18 22:08:00,Boston,MA,02215
236736,Wired Headphones,1,11.99,2019-08-03 17:36:00,Los Angeles,CA,90001
236737,AA Batteries (4-pack),1,3.84,2019-08-24 08:51:00,San Francisco,CA,94016
236738,Flatscreen TV,1,300.0,2019-08-30 15:07:00,New York City,NY,10001
236739,USB-C Charging Cable,1,11.95,2019-08-31 12:46:00,Boston,MA,02215
236740,USB-C Charging Cable,1,11.95,2019-08-12 07:30:00,San Francisco,CA,94016
236741,USB-C Charging Cable,1,11.95,2019-08-08 12:39:00,Boston,MA,02215
236742,Macbook Pro Laptop,1,1700.0,2019-08-11 01:47:00,San Francisco,CA,94016
236743,Lightning Charging Cable,1,14.95,2019-08-27 12:55:00,Los Angeles,CA,90001
236744,AAA Batteries (4-pack),1,2.99,2019-08-09 20:21:00,Atlanta,GA,30301
236745,AAA Batteries (4-pack),1,2.99,2019-08-17 21:01:00,San Francisco,CA,94016
236746,AAA Batteries (4-pack),2,2.99,2019-08-13 09:52:00,Los Angeles,CA,90001
236747,AAA Batteries (4-pack),1,2.99,2019-08-02 15:19:00,New York City,NY,10001
236748,Bose SoundSport Headphones,1,99.99,2019-08-19 16:40:00,New York City,NY,10001
236749,AAA Batteries (4-pack),1,2.99,2019-08-30 20:13:00,Austin,TX,73301
236750,Flatscreen TV,1,300.0,2019-08-25 08:37:00,Boston,MA,02215
236751,27in 4K Gaming Monitor,1,389.99,2019-08-03 09:18:00,Portland,ME,04101
236752,27in 4K Gaming Monitor,1,389.99,2019-08-27 21:41:00,Austin,TX,73301
236753,Lightning Charging Cable,1,14.95,2019-08-18 19:28:00,New York City,NY,10001
236754,Lightning Charging Cable,1,14.95,2019-08-13 10:29:00,Seattle,WA,98101
236755,Wired Headphones,1,11.99,2019-08-19 13:59:00,Dallas,TX,75001
236756,AA Batteries (4-pack),1,3.84,2019-08-31 18:36:00,Boston,MA,02215
236757,USB-C Charging Cable,1,11.95,2019-08-07 19:28:00,Seattle,WA,98101
236758,Flatscreen TV,1,300.0,2019-08-18 13:55:00,Los Angeles,CA,90001
236759,Bose SoundSport Headphones,1,99.99,2019-08-27 12:09:00,New York City,NY,10001
236760,AA Batteries (4-pack),1,3.84,2019-08-29 17:02:00,Boston,MA,02215
236761,27in FHD Monitor,1,149.99,2019-08-19 21:43:00,San Francisco,CA,94016
236762,AAA Batteries (4-pack),1,2.99,2019-08-16 14:25:00,San Francisco,CA,94016
236763,Apple Airpods Headphones,1,150.0,2019-08-06 10:23:00,Seattle,WA,98101
236764,Bose SoundSport Headphones,1,99.99,2019-08-22 15:48:00,Boston,MA,02215
