Order ID,Product,Quantity Ordered,Price Each,Order Date,City,State,ZIP Code
150502,iPhone,1,700.0,2019-02-18 01:35:00,Portland,ME,04101
150503,AA Batteries (4-pack),1,3.84,2019-02-13 07:24:00,San Francisco,CA,94016
150504,27in 4K Gaming Monitor,1,389.99,2019-02-18 09:46:00,New York City,NY,10001
150505,Lightning Charging Cable,1,14.95,2019-02-02 16:47:00,Atlanta,GA,30301
150506,AA Batteries (4-pack),2,3.84,2019-02-28 20:32:00,Seattle,WA,98101
150507,Lightning Charging Cable,1,14.95,2019-02-24 18:50:00,Austin,TX,73301
150508,AA Batteries (4-pack),1,3.84,2019-02-21 19:26:00,San Francisco,CA,94016
150509,Apple Airpods Headphones,1,150.0,2019-02-26 19:53:00,Seattle,WA,98101
150510,USB-C Charging Cable,1,11.95,2019-02-17 21:48:00,Los Angeles,CA,90001
150511,USB-C Charging Cable,1,11.95,2019-02-22 07:36:00,San Francisco,CA,94016
150512,Bose SoundSport Headphones,1,99.99,2019-02-17 18:29:00,Los Angeles,CA,90001
150513,Bose SoundSport Headphones,1,99.99,2019-02-25 20:49:00,Los Angeles,CA,90001
150514,27in FHD Monitor,1,149.99,2019-02-03 00:21:00,Los Angeles,CA,90001
150515,Apple Airpods Headphones,1,150.0,2019-02-18 14:53:00,New York City,NY,10001
150516,Lightning Charging Cable,1,14.95,2019-02-20 12:29:00,Atlanta,GA,30301
150517,Wired Headphones,1,11.99,2019-02-08 12:57:00,San Francisco,CA,94016
150518,Macbook Pro Laptop,1,1700.0,2019-02-26 12:38:00,San Francisco,CA,94016
150518,iPhone,1,700.0,2019-02-26 12:38:00,San Francisco,CA,94016
150519,Wired Headphones,1,11.99,2019-02-23 13:25:00,Dallas,TX,75001
150520,AA Batteries (4-pack),2,3.84,2019-02-27 14:39:00,Dallas,TX,75001
150521,Flatscreen TV,1,300.0,2019-02-27 20:07:00,Los Angeles,CA,90001
150522,20in Monitor,1,109.99,2019-02-12 00:00:00,Boston,MA,02215
150523,LG Dryer,1,600.0,2019-02-27 20:24:00,San Francisco,CA,94016
150524,Wired Headphones,1,11.99,2019-02-28 13:47:00,Austin,TX,73301
150525,20in Monitor,1,109.99,2019-02-25 09:38:00,San Francisco,CA,94016
150526,AAA Batteries (4-pack),1,2.99,2019-02-15 11:31:00,Boston,MA,02215
150527,USB-C Charging Cable,1,11.95,2019-02-07 14:33:00,Los Angeles,CA,90001
150528,AAA Batteries (4-pack),2,2.99,2019-02-26 23:17:00,Los Angeles,CA,90001
150529,AA Batteries (4-pack),4,3.84,2019-02-11 13:10:00,Seattle,WA,98101
150530,ThinkPad Laptop,1,999.99,2019-02-05 14:19:00,Los Angeles,CA,90001
150531,USB-C Charging Cable,1,11.95,2019-02-28 18:16:00,Los Angeles,CA,90001
150532,USB-C Charging Cable,1,11.95,2019-02-04 22:57:00,San Francisco,CA,94016
150533,AAA Batteries (4-pack),1,2.99,2019-03-01 03:06:00,San Francisco,CA,94016
150534,AAA Batteries (4-pack),2,2.99,2019-02-12 22:02:00,Los Angeles,CA,90001
150535,AAA Batteries (4-pack),1,2.99,2019-02-21 11:46:00,San Francisco,CA,94016
150536,Wired Headphones,1,11.99,2019-02-13 22:43:00,Los Angeles,CA,90001
150537,Wired Headphones,1,11.99,2019-02-23 13:31:00,San Francisco,CA,94016
150538,Apple Airpods Headphones,1,150.0,2019-02-22 17:28:00,Atlanta,GA,30301
150539,AA Batteries (4-pack),2,3.84,2019-02-18 16:46:00,San Francisco,CA,94016
150540,Apple Airpods Headphones,1,150.0,2019-02-18 15:23:00,Atlanta,GA,30301
150541,AAA Batteries (4-pack),1,2.99,2019-03-01 01:03:00,Portland,OR,97035
150542,AA Batteries (4-pack),1,3.84,2019-02-02 19:46:00,Austin,TX,73301
150543,Wired Headphones,1,11.99,2019-02-08 09:21:00,Boston,MA,02215
150544,Lightning Charging Cable,1,14.95,2019-02-10 17:19:00,Los Angeles,CA,90001
150545,Macbook Pro Laptop,1,1700.0,2019-02-25 20:35:00,Atlanta,GA,30301
150546,AAA Batteries (4-pack),1,2.99,2019-02-07 14:01:00,Atlanta,GA,30301
150547,AAA Batteries (4-pack),1,2.99,2019-02-06 17:51:00,San Francisco,CA,94016
150548,Macbook Pro Laptop,1,1700.0,2019-02-18 22:56:00,Boston,MA,02215
150549,iPhone,1,700.0,2019-02-05 20:33:00,Boston,MA,02215
150550,ThinkPad Laptop,1,999.99,2019-02-17 14:45:00,Los Angeles,CA,90001
150551,27in 4K Gaming Monitor,1,389.99,2019-02-02 08:25:00,Seattle,WA,98101
150552,Wired Headphones,1,11.99,2019-02-21 19:06:00,Boston,MA,02215
150553,34in Ultrawide Monitor,1,379.99,2019-02-20 21:42:00,Dallas,TX,75001
150554,AA Batteries (4-pack),1,3.84,2019-02-12 06:49:00,New York City,NY,10001
150555,27in FHD Monitor,1,149.99,2019-02-18 11:27:00,Portland,OR,97035
150556,Lightning Charging Cable,1,14.95,2019-02-10 13:25:00,Los Angeles,CA,90001
150557,AA Batteries (4-pack),2,3.84,2019-02-22 21:41:00,Seattle,WA,98101
