Order ID,Product,Quantity Ordered,Price Each,Order Date,City,State,ZIP Code
141234,iPhone,1,700.0,2019-01-22 21:25:00,Boston,MA,02215
141235,Lightning Charging Cable,1,14.95,2019-01-28 14:15:00,Portland,OR,97035
141236,Wired Headphones,2,11.99,2019-01-17 13:33:00,San Francisco,CA,94016
141237,27in FHD Monitor,1,149.99,2019-01-05 20:33:00,Los Angeles,CA,90001
141238,Wired Headphones,1,11.99,2019-01-25 11:59:00,Austin,TX,73301
141239,AAA Batteries (4-pack),1,2.99,2019-01-29 20:22:00,San Francisco,CA,94016
141240,27in 4K Gaming Monitor,1,389.99,2019-01-26 12:16:00,Los Angeles,CA,90001
141241,USB-C Charging Cable,1,11.95,2019-01-05 12:04:00,San Francisco,CA,94016
141242,Bose SoundSport Headphones,1,99.99,2019-01-01 10:30:00,Los Angeles,CA,90001
141243,Apple Airpods Headphones,1,150.0,2019-01-22 21:20:00,San Francisco,CA,94016
141244,Apple Airpods Headphones,1,150.0,2019-01-07 11:29:00,San Francisco,CA,94016
141245,Macbook Pro Laptop,1,1700.0,2019-01-31 10:12:00,San Francisco,CA,94016
141246,AAA Batteries (4-pack),3,2.99,2019-01-09 18:57:00,Los Angeles,CA,90001
141247,27in FHD Monitor,1,149.99,2019-01-25 19:19:00,San Francisco,CA,94016
141248,Flatscreen TV,1,300.0,2019-01-03 21:54:00,Austin,TX,73301
141249,27in FHD Monitor,1,149.99,2019-01-05 17:20:00,Portland,OR,97035
141250,Vareebadd Phone,1,400.0,2019-01-10 11:20:00,Los Angeles,CA,90001
141251,Apple Airpods Headphones,1,150.0,2019-01-24 08:13:00,Boston,MA,02215
141252,USB-C Charging Cable,1,11.95,2019-01-30 09:28:00,Los Angeles,CA,90001
141253,AA Batteries (4-pack),1,3.84,2019-01-17 00:09:00,Atlanta,GA,30301
141254,AAA Batteries (4-pack),1,2.99,2019-01-08 11:51:00,Seattle,WA,98101
141255,USB-C Charging Cable,1,11.95,2019-01-09 20:55:00,Los Angeles,CA,90001
141256,Google Phone,1,600.0,2019-01-29 10:40:00,Portland,OR,97035
141257,Apple Airpods Headphones,1,150.0,2019-01-12 18:51:00,San Francisco,CA,94016
141258,AA Batteries (4-pack),1,3.84,2019-01-19 21:47:00,San Francisco,CA,94016
141259,AAA Batteries (4-pack),2,2.99,2019-01-20 17:26:00,San Francisco,CA,94016
141260,AAA Batteries (4-pack),1,2.99,2019-01-01 22:00:00,San Francisco,CA,94016
141261,USB-C Charging Cable,1,11.95,2019-01-09 18:14:00,Atlanta,GA,30301
141262,AAA Batteries (4-pack),1,2.99,2019-01-16 12:35:00,San Francisco,CA,94016
141263,Bose SoundSport Headphones,1,99.99,2019-01-11 23:33:00,Boston,MA,02215
141264,Apple Airpods Headphones,1,150.0,2019-01-03 09:46:00,New York City,NY,10001
141265,Apple Airpods Headphones,1,150.0,2019-01-01 16:52:00,Boston,MA,02215
141266,27in 4K Gaming Monitor,1,389.99,2019-01-02 22:21:00,Dallas,TX,75001
141267,Apple Airpods Headphones,1,150.0,2019-01-09 08:28:00,Los Angeles,CA,90001
141268,AA Batteries (4-pack),1,3.84,2019-01-14 10:13:00,New York City,NY,10001
141269,27in 4K Gaming Monitor,1,389.99,2019-01-03 20:05:00,Los Angeles,CA,90001
141270,Wired Headphones,1,11.99,2019-01-27 23:10:00,San Francisco,CA,94016
141271,USB-C Charging Cable,1,11.95,2019-01-30 10:51:00,Boston,MA,02215
141272,AAA Batteries (4-pack),1,2.99,2019-01-12 13:09:00,New York City,NY,10001
141273,Wired Headphones,2,11.99,2019-01-29 12:04:00,Boston,MA,02215
141274,USB-C Charging Cable,1,11.95,2019-01-17 11:30:00,Los Angeles,CA,90001
141275,USB-C Charging Cable,1,11.95,2019-01-07 16:06:00,Austin,TX,73301
141275,Wired Headphones,1,11.99,2019-01-07 16:06:00,Austin,TX,73301
141276,Lightning Charging Cable,1,14.95,2019-01-21 22:23:00,Los Angeles,CA,90001
141277,Bose SoundSport Headphones,1,99.99,2019-01-13 19:07:00,Austin,TX,73301
141278,Lightning Charging Cable,1,14.95,2019-01-26 12:14:00,New York City,NY,10001
141279,Lightning Charging Cable,1,14.95,2019-01-03 19:10:00,Boston,MA,02215
141280,AAA Batteries (4-pack),1,2.99,2019-01-20 16:10:00,Los Angeles,CA,90001
141281,Lightning Charging Cable,1,14.95,2019-01-05 16:51:00,Atlanta,GA,30301
141282,Vareebadd Phone,1,400.0,2019-01-11 18:10:00,New York City,NY,10001
141283,Flatscreen TV,1,300.0,2019-01-02 16:16:00,Seattle,WA,98101
141284,Wired Headphones,1,11.99,2019-01-29 18:30:00,Los Angeles,CA,90001
141285,AAA Batteries (4-pack),3,2.99,2019-01-14 14:13:00,Seattle,WA,98101
141286,27in 4K Gaming Monitor,1,389.99,2019-01-02 20:33:00,Dallas,TX,75001
141287,Bose SoundSport Headphones,1,99.99,2019-01-31 08:38:00,San Francisco,CA,94016
141288,Macbook Pro Laptop,1,1700.0,2019-01-19 08:17:00,Los Angeles,CA,90001
141289,20in Monitor,1,109.99,2019-01-28 11:17:00,Atlanta,GA,30301
141290,Apple Airpods Headphones,1,150.0,2019-01-02 08:25:00,Los Angeles,CA,90001
141290,AA Batteries (4-pack),3,3.84,2019-01-02 08:25:00,Los Angeles,CA,90001
141291,AA Batteries (4-pack),1,3.84,2019-01-26 18:11:00,Los Angeles,CA,90001
141292,AAA Batteries (4-pack),1,2.99,2019-01-21 08:46:00,Los Angeles,CA,90001
141293,USB-C Charging Cable,1,11.95,2019-01-18 12:21:00,Boston,MA,02215
141294,Bose SoundSport Headphones,1,99.99,2019-01-25 08:12:00,San Francisco,CA,94016
141295,AA Batteries (4-pack),1,3.84,2019-01-06 20:06:00,Austin,TX,73301
141296,USB-C Charging Cable,1,11.95,2019-01-20 00:21:00,Atlanta,GA,30301
141297,Lightning Charging Cable,1,14.95,2019-01-04 11:09:00,San Francisco,CA,94016
141298,Lightning Charging Cable,1,14.95,2019-01-21 13:24:00,Dallas,TX,75001
141299,AAA Batteries (4-pack),1,2.99,2019-01-31 23:23:00,Dallas,TX,75001
141300,Apple Airpods Headphones,1,150.0,2019-01-23 10:21:00,Boston,MA,02215
141301,Apple Airpods Headphones,1,150.0,2019-01-27 11:58:00,New York City,NY,10001
141302,AAA Batteries (4-pack),2,2.99,2019-01-18 20:12:00,Portland,OR,97035
141303,AA Batteries (4-pack),1,3.84,2019-01-19 09:23:00,Seattle,WA,98101
141304,USB-C Charging Cable,1,11.95,2019-01-28 13:10:00,Los Angeles,CA,90001
141305,AAA Batteries (4-pack),3,2.99,2019-01-27 16:51:00,Austin,TX,73301
141306,Wired Headphones,1,11.99,2019-01-19 10:25:00,San Francisco,CA,94016
141307,AAA Batteries (4-pack),1,2.99,2019-01-11 11:18:00,Boston,MA,02215
141308,27in FHD Monitor,1,149.99,2019-01-12 12:00:00,Portland,OR,97035
141309,AAA Batteries (4-pack),2,2.99,2019-01-20 07:02:00,San Francisco,CA,94016
141310,AAA Batteries (4-pack),1,2.99,2019-01-07 13:32:00,San Francisco,CA,94016
141311,34in Ultrawide Monitor,1,379.99,2019-01-28 12:45:00,Atlanta,GA,30301
141312,Apple Airpods Headphones,1,150.0,2019-01-08 23:20:00,San Francisco,CA,94016
141313,Lightning Charging Cable,1,14.95,2019-01-09 15:03:00,Los Angeles,CA,90001
141314,Macbook Pro Laptop,1,1700.0,2019-01-13 23:51:00,New York City,NY,10001
141315,USB-C Charging Cable,1,11.95,2019-01-10 01:32:00,Seattle,WA,98101
141316,AAA Batteries (4-pack),3,2.99,2019-01-01 07:26:00,Seattle,WA,98101
141317,27in FHD Monitor,1,149.99,2019-01-21 11:18:00,New York City,NY,10001
