Order ID,Product,Quantity Ordered,Price Each,Order Date,City,State,ZIP Code
222910,Apple Airpods Headphones,1,150.0,2019-07-26 16:51:00,Atlanta,GA,30301
222911,Flatscreen TV,1,300.0,2019-07-05 08:55:00,Seattle,WA,98101
222912,AA Batteries (4-pack),1,3.84,2019-07-29 12:41:00,Atlanta,GA,30301
222913,AA Batteries (4-pack),1,3.84,2019-07-28 10:15:00,Atlanta,GA,30301
222914,AAA Batteries (4-pack),5,2.99,2019-07-31 02:13:00,Seattle,WA,98101
222915,Bose SoundSport Headphones,1,99.99,2019-07-03 18:30:00,San Francisco,CA,94016
222916,Google Phone,1,600.0,2019-07-21 22:39:00,New York City,NY,10001
222917,LG Dryer,1,600.0,2019-07-17 13:44:00,New York City,NY,10001
222918,USB-C Charging Cable,1,11.95,2019-07-14 21:16:00,Los Angeles,CA,90001
222919,Lightning Charging Cable,1,14.95,2019-07-14 13:24:00,Dallas,TX,75001
222920,AA Batteries (4-pack),1,3.84,2019-07-30 04:42:00,San Francisco,CA,94016
222921,Lightning Charging Cable,1,14.95,2019-07-02 11:04:00,San Francisco,CA,94016
222922,34in Ultrawide Monitor,1,379.99,2019-07-20 21:12:00,Dallas,TX,75001
222923,AAA Batteries (4-pack),1,2.99,2019-07-05 12:16:00,Los Angeles,CA,90001
222924,Bose SoundSport Headphones,1,99.99,2019-07-13 20:46:00,San Francisco,CA,94016
222925,Apple Airpods Headphones,1,150.0,2019-07-09 02:59:00,San Francisco,CA,94016
222926,Lightning Charging Cable,2,14.95,2019-07-15 17:44:00,Los Angeles,CA,90001
222927,Wired Headphones,1,11.99,2019-07-31 20:34:00,Los Angeles,CA,90001
222928,Google Phone,1,600.0,2019-07-15 17:18:00,San Francisco,CA,94016
222929,Vareebadd Phone,1,400.0,2019-07-04 19:46:00,Boston,MA,02215
222930,Lightning Charging Cable,1,14.95,2019-07-20 20:57:00,San Francisco,CA,94016
222931,USB-C Charging Cable,1,11.95,2019-07-18 09:21:00,Boston,MA,02215
222932,Wired Headphones,1,11.99,2019-07-24 17:32:00,Los Angeles,CA,90001
222933,LG Dryer,1,600.0,2019-07-30 13:20:00,Los Angeles,CA,90001
222934,AA Batteries (4-pack),2,3.84,2019-07-03 23:51:00,Seattle,WA,98101
222935,AAA Batteries (4-pack),1,2.99,2019-07-23 12:20:00,San Francisco,CA,94016
222936,27in FHD Monitor,1,149.99,2019-07-04 12:29:00,Boston,MA,02215
222937,Lightning Charging Cable,2,14.95,2019-07-03 09:01:00,San Francisco,CA,94016
222938,Flatscreen TV,1,300.0,2019-07-20 17:49:00,Dallas,TX,75001
222939,Apple Airpods Headphones,1,150.0,2019-07-17 21:53:00,Los Angeles,CA,90001
222940,Wired Headphones,2,11.99,2019-07-05 15:06:00,San Francisco,CA,94016
222941,Apple Airpods Headphones,1,150.0,2019-07-02 05:48:00,San Francisco,CA,94016
222942,Lightning Charging Cable,1,14.95,2019-07-07 10:00:00,Portland,OR,97035
222943,Lightning Charging Cable,1,14.95,2019-07-20 23:39:00,Seattle,WA,98101
222944,27in FHD Monitor,1,149.99,2019-07-07 22:52:00,San Francisco,CA,94016
222945,Wired Headphones,1,11.99,2019-07-21 21:51:00,Los Angeles,CA,90001
222946,20in Monitor,1,109.99,2019-07-14 22:19:00,New York City,NY,10001
222947,ThinkPad Laptop,1,999.99,2019-07-16 09:15:00,New York City,NY,10001
222948,USB-C Charging Cable,1,11.95,2019-07-10 08:18:00,San Francisco,CA,94016
222949,USB-C Charging Cable,1,11.95,2019-07-28 17:24:00,Dallas,TX,75001
222950,Lightning Charging Cable,1,14.95,2019-07-17 19:05:00,Dallas,TX,75001
222951,Apple Airpods Headphones,1,150.0,2019-07-08 12:34:00,San Francisco,CA,94016
222952,Lightning Charging Cable,1,14.95,2019-07-06 16:01:00,San Francisco,CA,94016
222953,Lightning Charging Cable,1,14.95,2019-07-31 02:56:00,Los Angeles,CA,90001
