Order ID,Product,Quantity Ordered,Price Each,Order Date,City,State,ZIP Code
209921,USB-C Charging Cable,1,11.95,2019-06-23 19:34:00,Portland,ME,04101
209922,Macbook Pro Laptop,1,1700.0,2019-06-30 10:05:00,San Francisco,CA,94016
209923,ThinkPad Laptop,1,999.99,2019-06-24 20:18:00,Los Angeles,CA,90001
209924,27in FHD Monitor,1,149.99,2019-06-05 10:21:00,Seattle,WA,98101
209925,Bose SoundSport Headphones,1,99.99,2019-06-25 18:58:00,San Francisco,CA,94016
209926,Apple Airpods Headphones,1,150.0,2019-06-28 20:04:00,Seattle,WA,98101
209927,Lightning Charging Cable,1,14.95,2019-06-28 00:07:00,Los Angeles,CA,90001
209928,Apple Airpods Headphones,1,150.0,2019-06-16 21:30:00,New York City,NY,10001
209929,Wired Headphones,1,11.99,2019-06-28 10:56:00,Portland,OR,97035
209930,27in FHD Monitor,1,149.99,2019-06-02 11:22:00,Los Angeles,CA,90001
209931,Apple Airpods Headphones,1,150.0,2019-06-24 13:55:00,New York City,NY,10001
209932,Flatscreen TV,1,300.0,2019-06-12 14:36:00,Boston,MA,02215
209933,AA Batteries (4-pack),1,3.84,2019-06-07 15:39:00,San Francisco,CA,94016
209934,AAA Batteries (4-pack),1,2.99,2019-06-13 20:53:00,Boston,MA,02215
209935,AAA Batteries (4-pack),1,2.99,2019-06-09 11:13:00,Boston,MA,02215
209936,34in Ultrawide Monitor,1,379.99,2019-06-15 12:21:00,Dallas,TX,75001
209937,AA Batteries (4-pack),1,3.84,2019-06-29 18:01:00,Dallas,TX,75001
209938,iPhone,1,700.0,2019-06-15 12:29:00,Seattle,WA,98101
209938,Wired Headphones,1,11.99,2019-06-15 12:29:00,Seattle,WA,98101
209939,Google Phone,1,600.0,2019-06-08 16:55:00,San Francisco,CA,94016
209940,34in Ultrawide Monitor,1,379.99,2019-06-26 15:24:00,Atlanta,GA,30301
209941,Wired Headphones,1,11.99,2019-06-27 11:18:00,Boston,MA,02215
209942,27in 4K Gaming Monitor,1,389.99,2019-06-19 13:52:00,Austin,TX,73301
209943,AAA Batteries (4-pack),3,2.99,2019-06-23 16:19:00,Los Angeles,CA,90001
209944,27in FHD Monitor,1,149.99,2019-06-02 19:10:00,Austin,TX,73301
209945,AA Batteries (4-pack),1,3.84,2019-06-28 08:53:00,San Francisco,CA,94016
209946,Google Phone,1,600.0,2019-06-28 22:13:00,San Francisco,CA,94016
209947,Apple Airpods Headphones,1,150.0,2019-06-06 22:41:00,San Francisco,CA,94016
209948,Macbook Pro Laptop,1,1700.0,2019-06-09 01:48:00,Atlanta,GA,30301
209949,Google Phone,1,600.0,2019-06-23 07:45:00,San Francisco,CA,94016
209949,USB-C Charging Cable,1,11.95,2019-06-23 07:45:00,San Francisco,CA,94016
209950,Wired Headphones,2,11.99,2019-06-01 18:03:00,Los Angeles,CA,90001
209951,27in 4K Gaming Monitor,1,389.99,2019-06-30 13:04:00,New York City,NY,10001
209952,20in Monitor,1,109.99,2019-06-26 17:48:00,Dallas,TX,75001
209953,Google Phone,1,600.0,2019-06-16 16:59:00,Dallas,TX,75001
209954,iPhone,1,700.0,2019-06-16 07:21:00,San Francisco,CA,94016
209955,AA Batteries (4-pack),1,3.84,2019-06-15 21:25:00,Atlanta,GA,30301
209956,AA Batteries (4-pack),2,3.84,2019-06-26 15:23:00,Seattle,WA,98101
209957,AA Batteries (4-pack),1,3.84,2019-06-13 12:23:00,Los Angeles,CA,90001
209958,Wired Headphones,1,11.99,2019-06-06 12:09:00,Los Angeles,CA,90001
209959,USB-C Charging Cable,1,11.95,2019-06-01 15:48:00,Atlanta,GA,30301
209960,USB-C Charging Cable,1,11.95,2019-06-22 11:53:00,Dallas,TX,75001
209960,AA Batteries (4-pack),1,3.84,2019-06-22 11:53:00,Dallas,TX,75001
209961,iPhone,1,700.0,2019-06-01 23:00:00,Austin,TX,73301
