Order ID,Product,Quantity Ordered,Price Each,Order Date,City,State,ZIP Code
278797,Wired Headphones,1,11.99,2019-11-21 09:54:00,New York City,NY,10001
278798,USB-C Charging Cable,2,11.95,2019-11-17 10:03:00,Austin,TX,73301
278799,Apple Airpods Headphones,1,150.0,2019-11-19 14:56:00,Los Angeles,CA,90001
278800,27in FHD Monitor,1,149.99,2019-11-25 22:24:00,Seattle,WA,98101
278801,Bose SoundSport Headphones,1,99.99,2019-11-09 13:56:00,Boston,MA,02215
278802,USB-C Charging Cable,1,11.95,2019-11-14 20:34:00,San Francisco,CA,94016
278803,Lightning Charging Cable,1,14.95,2019-11-11 08:05:00,San Francisco,CA,94016
278804,Bose SoundSport Headphones,1,99.99,2019-11-15 11:48:00,Austin,TX,73301
278805,Lightning Charging Cable,1,14.95,2019-11-27 11:50:00,San Francisco,CA,94016
278806,Bose SoundSport Headphones,1,99.99,2019-11-19 19:12:00,Boston,MA,02215
278806,ThinkPad Laptop,1,999.99,2019-11-19 19:12:00,Boston,MA,02215
278807,ThinkPad Laptop,1,999.99,2019-11-25 21:52:00,Austin,TX,73301
278808,AAA Batteries (4-pack),1,2.99,2019-11-23 13:19:00,Boston,MA,02215
278809,AA Batteries (4-pack),1,3.84,2019-11-17 12:38:00,Dallas,TX,75001
278810,USB-C Charging Cable,1,11.95,2019-11-03 16:55:00,Boston,MA,02215
278811,Wired Headphones,1,11.99,2019-11-06 16:01:00,San Francisco,CA,94016
278811,Apple Airpods Headphones,1,150.0,2019-11-06 16:01:00,San Francisco,CA,94016
278812,Apple Airpods Headphones,1,150.0,2019-11-17 20:08:00,Seattle,WA,98101
278813,Macbook Pro Laptop,1,1700.0,2019-11-09 22:40:00,Boston,MA,02215
278814,AA Batteries (4-pack),3,3.84,2019-11-16 16:45:00,Boston,MA,02215
278815,Lightning Charging Cable,1,14.95,2019-11-18 13:06:00,New York City,NY,10001
278816,Lightning Charging Cable,1,14.95,2019-11-08 08:58:00,New York City,NY,10001
278817,USB-C Charging Cable,1,11.95,2019-11-05 23:25:00,Boston,MA,02215
278818,USB-C Charging Cable,1,11.95,2019-11-16 22:12:00,New York City,NY,10001
278819,iPhone,1,700.0,2019-11-04 06:20:00,New York City,NY,10001
278819,Apple Airpods Headphones,1,150.0,2019-11-04 06:20:00,New York City,NY,10001
278820,USB-C Charging Cable,2,11.95,2019-11-17 15:11:00,Portland,OR,97035
278821,USB-C Charging Cable,1,11.95,2019-11-25 16:17:00,Dallas,TX,75001
278822,Bose SoundSport Headphones,1,99.99,2019-11-20 08:17:00,Atlanta,GA,30301
278823,AA Batteries (4-pack),1,3.84,2019-11-29 20:42:00,Boston,MA,02215
278824,27in FHD Monitor,1,149.99,2019-11-08 11:05:00,Portland,OR,97035
278825,Bose SoundSport Headphones,1,99.99,2019-11-02 00:35:00,San Francisco,CA,94016
278826,20in Monitor,1,109.99,2019-11-26 15:58:00,Austin,TX,73301
278827,Apple Airpods Headphones,1,150.0,2019-11-01 13:06:00,San Francisco,CA,94016
278828,34in Ultrawide Monitor,1,379.99,2019-11-12 20:24:00,San Francisco,CA,94016
278829,iPhone,1,700.0,2019-11-20 22:19:00,Los Angeles,CA,90001
278830,USB-C Charging Cable,1,11.95,2019-11-04 13:28:00,Boston,MA,02215
278831,Bose SoundSport Headphones,1,99.99,2019-11-11 12:37:00,Los Angeles,CA,90001
278832,Vareebadd Phone,1,400.0,2019-11-10 16:10:00,San Francisco,CA,94016
278833,iPhone,1,700.0,2019-11-04 10:34:00,San Francisco,CA,94016
278833,Lightning Charging Cable,2,14.95,2019-11-04 10:34:00,San Francisco,CA,94016
278834,Wired Headphones,1,11.99,2019-11-07 13:19:00,Los Angeles,CA,90001
278835,AAA Batteries (4-pack),1,2.99,2019-11-13 20:05:00,San Francisco,CA,94016
278836,Wired Headphones,1,11.99,2019-11-26 20:48:00,New York City,NY,10001
278837,AA Batteries (4-pack),1,3.84,2019-11-10 16:05:00,San Francisco,CA,94016
278838,Flatscreen TV,1,300.0,2019-11-12 15:37:00,San Francisco,CA,94016
278839,Lightning Charging Cable,1,14.95,2019-11-23 11:16:00,San Francisco,CA,94016
278840,Bose SoundSport Headphones,1,99.99,2019-11-23 20:46:00,Los Angeles,CA,90001
278840,27in FHD Monitor,1,149.99,2019-11-23 20:46:00,Los Angeles,CA,90001
