Order ID,Product,Quantity Ordered,Price Each,Order Date,City,State,ZIP Code
259358,34in Ultrawide Monitor,1,379.99,2019-10-28 10:56:00,Dallas,TX,75001
259359,27in 4K Gaming Monitor,1,389.99,2019-10-28 17:26:00,Los Angeles,CA,90001
259360,AAA Batteries (4-pack),2,2.99,2019-10-24 17:20:00,New York City,NY,10001
259361,27in FHD Monitor,1,149.99,2019-10-14 22:26:00,New York City,NY,10001
259362,Wired Headphones,1,11.99,2019-10-07 16:10:00,Los Angeles,CA,90001
259363,AAA Batteries (4-pack),1,2.99,2019-10-01 18:55:00,New York City,NY,10001
259364,Wired Headphones,1,11.99,2019-10-29 11:02:00,Los Angeles,CA,90001
259365,Lightning Charging Cable,1,14.95,2019-10-29 11:19:00,Los Angeles,CA,90001
259366,Apple Airpods Headphones,1,150.0,2019-10-20 11:52:00,Los Angeles,CA,90001
259367,Apple Airpods Headphones,1,150.0,2019-10-16 16:19:00,San Francisco,CA,94016
259368,27in FHD Monitor,1,149.99,2019-10-13 13:47:00,Boston,MA,02215
259369,USB-C Charging Cable,1,11.95,2019-10-26 10:54:00,Portland,OR,97035
259370,20in Monitor,1,109.99,2019-10-28 23:56:00,San Francisco,CA,94016
259371,iPhone,1,700.0,2019-10-26 12:12:00,Los Angeles,CA,90001
259372,Wired Headphones,1,11.99,2019-10-17 11:07:00,San Francisco,CA,94016
259373,27in FHD Monitor,1,149.99,2019-10-31 20:15:00,San Francisco,CA,94016
259374,Apple Airpods Headphones,1,150.0,2019-10-17 22:14:00,Los Angeles,CA,90001
259375,USB-C Charging Cable,1,11.95,2019-10-10 08:53:00,San Francisco,CA,94016
259376,27in FHD Monitor,1,149.99,2019-10-12 00:03:00,San Francisco,CA,94016
259377,Bose SoundSport Headphones,1,99.99,2019-10-23 16:49:00,Boston,MA,02215
259378,Lightning Charging Cable,1,14.95,2019-10-18 16:45:00,Boston,MA,02215
259379,27in 4K Gaming Monitor,1,389.99,2019-10-09 13:15:00,San Francisco,CA,94016
259380,Apple Airpods Headphones,1,150.0,2019-10-19 12:21:00,San Francisco,CA,94016
259381,ThinkPad Laptop,1,999.99,2019-10-25 08:44:00,New York City,NY,10001
259382,Wired Headphones,1,11.99,2019-10-18 14:16:00,New York City,NY,10001
259383,Apple Airpods Headphones,1,150.0,2019-10-13 12:32:00,Los Angeles,CA,90001
259384,ThinkPad Laptop,1,999.99,2019-10-29 23:22:00,Dallas,TX,75001
259385,Lightning Charging Cable,1,14.95,2019-10-28 15:28:00,Los Angeles,CA,90001
259386,Lightning Charging Cable,1,14.95,2019-10-16 21:39:00,Los Angeles,CA,90001
259387,Bose SoundSport Headphones,1,99.99,2019-10-01 13:58:00,New York City,NY,10001
259388,AA Batteries (4-pack),1,3.84,2019-10-12 13:15:00,San Francisco,CA,94016
259389,AAA Batteries (4-pack),1,2.99,2019-10-17 14:14:00,Dallas,TX,75001
259390,Lightning Charging Cable,1,14.95,2019-10-08 12:35:00,Atlanta,GA,30301
259391,Google Phone,1,600.0,2019-10-24 12:51:00,Dallas,TX,75001
259392,Wired Headphones,1,11.99,2019-10-19 15:26:00,Los Angeles,CA,90001
259393,AA Batteries (4-pack),1,3.84,2019-10-22 20:35:00,New York City,NY,10001
259394,AA Batteries (4-pack),1,3.84,2019-10-24 18:58:00,Atlanta,GA,30301
259395,Bose SoundSport Headphones,1,99.99,2019-10-13 13:55:00,Atlanta,GA,30301
259396,AAA Batteries (4-pack),1,2.99,2019-10-23 22:40:00,Austin,TX,73301
259397,Wired Headphones,1,11.99,2019-10-01 14:39:00,Atlanta,GA,30301
259398,Bose SoundSport Headphones,1,99.99,2019-10-22 10:20:00,Seattle,WA,98101
259399,AAA Batteries (4-pack),2,2.99,2019-10-31 19:06:00,San Francisco,CA,94016
259400,27in 4K Gaming Monitor,1,389.99,2019-10-19 09:24:00,Los Angeles,CA,90001
259401,Wired Headphones,1,11.99,2019-10-15 23:39:00,Los Angeles,CA,90001
259402,AA Batteries (4-pack),3,3.84,2019-10-09 20:27:00,Seattle,WA,98101
259403,USB-C Charging Cable,1,11.95,2019-10-25 19:42:00,New York City,NY,10001
259404,Bose SoundSport Headphones,1,99.99,2019-10-07 19:48:00,Boston,MA,02215
259405,Bose SoundSport Headphones,1,99.99,2019-10-07 19:19:00,Dallas,TX,75001
259406,AA Batteries (4-pack),1,3.84,2019-10-12 12:01:00,Atlanta,GA,30301
259407,Lightning Charging Cable,1,14.95,2019-10-30 12:09:00,San Francisco,CA,94016
259408,34in Ultrawide Monitor,1,379.99,2019-10-21 20:09:00,Los Angeles,CA,90001
259409,27in FHD Monitor,1,149.99,2019-10-03 16:26:00,Austin,TX,73301
259410,AA Batteries (4-pack),2,3.84,2019-10-01 21:32:00,San Francisco,CA,94016
259411,AA Batteries (4-pack),1,3.84,2019-10-09 14:47:00,San Francisco,CA,94016
259412,Apple Airpods Headphones,1,150.0,2019-10-24 18:05:00,Los Angeles,CA,90001
259413,Bose SoundSport Headphones,1,99.99,2019-10-30 09:54:00,Boston,MA,02215
259414,Apple Airpods Headphones,1,150.0,2019-10-08 21:01:00,San Francisco,CA,94016
259415,AAA Batteries (4-pack),2,2.99,2019-10-16 19:13:00,Portland,OR,97035
259416,Vareebadd Phone,1,400.0,2019-10-10 19:10:00,Dallas,TX,75001
259417,Wired Headphones,1,11.99,2019-10-08 16:27:00,Seattle,WA,98101
259418,iPhone,1,700.0,2019-10-25 12:06:00,Austin,TX,73301
259419,USB-C Charging Cable,1,11.95,2019-10-28 08:13:00,Los Angeles,CA,90001
259420,Google Phone,1,600.0,2019-10-18 08:54:00,Los Angeles,CA,90001
259420,USB-C Charging Cable,2,11.95,2019-10-18 08:54:00,Los Angeles,CA,90001
259421,Wired Headphones,1,11.99,2019-10-19 16:52:00,San Francisco,CA,94016
259422,Google Phone,1,600.0,2019-10-05 04:53:00,San Francisco,CA,94016
259422,USB-C Charging Cable,1,11.95,2019-10-05 04:53:00,San Francisco,CA,94016
259423,AA Batteries (4-pack),1,3.84,2019-10-14 15:37:00,New York City,NY,10001
259424,USB-C Charging Cable,2,11.95,2019-10-31 22:54:00,Atlanta,GA,30301
259425,Lightning Charging Cable,1,14.95,2019-10-18 11:36:00,Austin,TX,73301
259426,27in 4K Gaming Monitor,1,389.99,2019-10-17 10:43:00,Dallas,TX,75001
259427,iPhone,1,700.0,2019-10-06 21:23:00,New York City,NY,10001
259428,AA Batteries (4-pack),1,3.84,2019-10-07 22:09:00,Los Angeles,CA,90001
