Order ID,Product,Quantity Ordered,Price Each,Order Date,City,State,ZIP Code
248151,AA Batteries (4-pack),4,3.84,2019-09-17 14:44:00,Los Angeles,CA,90001
248152,USB-C Charging Cable,2,11.95,2019-09-29 10:19:00,Austin,TX,73301
248153,USB-C Charging Cable,1,11.95,2019-09-16 17:48:00,Los Angeles,CA,90001
248154,27in FHD Monitor,1,149.99,2019-09-27 07:52:00,Seattle,WA,98101
248155,USB-C Charging Cable,1,11.95,2019-09-01 19:03:00,Atlanta,GA,30301
248156,34in Ultrawide Monitor,1,379.99,2019-09-13 14:59:00,Los Angeles,CA,90001
248157,Lightning Charging Cable,1,14.95,2019-09-07 09:59:00,Portland,ME,04101
248158,Lightning Charging Cable,1,14.95,2019-09-02 14:16:00,Los Angeles,CA,90001
248159,Vareebadd Phone,1,400.0,2019-09-06 16:45:00,New York City,NY,10001
248160,Wired Headphones,1,11.99,2019-09-01 22:03:00,San Francisco,CA,94016
248161,USB-C Charging Cable,1,11.95,2019-09-24 16:26:00,San Francisco,CA,94016
248162,AAA Batteries (4-pack),3,2.99,2019-09-14 12:52:00,Seattle,WA,98101
248163,USB-C Charging Cable,1,11.95,2019-09-25 12:32:00,Portland,OR,97035
248164,27in FHD Monitor,1,149.99,2019-09-12 15:57:00,San Francisco,CA,94016
248165,Lightning Charging Cable,1,14.95,2019-09-15 12:42:00,Atlanta,GA,30301
248166,Apple Airpods Headphones,1,150.0,2019-09-04 14:59:00,Boston,MA,02215
248167,Google Phone,1,600.0,2019-09-02 18:52:00,San Francisco,CA,94016
248168,USB-C Charging Cable,1,11.95,2019-09-30 18:59:00,San Francisco,CA,94016
248169,20in Monitor,1,109.99,2019-09-24 19:40:00,San Francisco,CA,94016
248170,AAA Batteries (4-pack),1,2.99,2019-09-04 02:01:00,Boston,MA,02215
248171,USB-C Charging Cable,1,11.95,2019-09-05 15:06:00,New York City,NY,10001
248171,USB-C Charging Cable,1,11.95,2019-09-05 15:06:00,New York City,NY,10001
248172,Wired Headphones,1,11.99,2019-09-13 16:49:00,Boston,MA,02215
248173,Apple Airpods Headphones,1,150.0,2019-09-14 20:47:00,Atlanta,GA,30301
248174,Bose SoundSport Headphones,1,99.99,2019-09-17 22:57:00,Dallas,TX,75001
248175,iPhone,1,700.0,2019-09-08 13:58:00,Austin,TX,73301
248176,AA Batteries (4-pack),2,3.84,2019-09-12 13:18:00,San Francisco,CA,94016
248177,USB-C Charging Cable,1,11.95,2019-09-24 20:36:00,San Francisco,CA,94016
248178,Apple Airpods Headphones,1,150.0,2019-09-03 21:52:00,Los Angeles,CA,90001
248179,27in FHD Monitor,1,149.99,2019-09-13 15:06:00,New York City,NY,10001
248180,USB-C Charging Cable,1,11.95,2019-09-28 15:52:00,New York City,NY,10001
248181,Apple Airpods Headphones,1,150.0,2019-09-08 12:40:00,New York City,NY,10001
248182,Apple Airpods Headphones,1,150.0,2019-09-15 13:03:00,New York City,NY,10001
248183,34in Ultrawide Monitor,1,379.99,2019-09-18 17:47:00,San Francisco,CA,94016
248184,AA Batteries (4-pack),1,3.84,2019-09-07 11:23:00,New York City,NY,10001
248185,34in Ultrawide Monitor,1,379.99,2019-09-17 15:10:00,New York City,NY,10001
248186,USB-C Charging Cable,1,11.95,2019-09-05 13:53:00,Seattle,WA,98101
248187,AAA Batteries (4-pack),3,2.99,2019-09-07 23:31:00,Los Angeles,CA,90001
248188,Apple Airpods Headphones,1,150.0,2019-09-08 22:17:00,San Francisco,CA,94016
248189,Google Phone,1,600.0,2019-09-14 12:45:00,San Francisco,CA,94016
248190,Bose SoundSport Headphones,1,99.99,2019-09-24 21:47:00,New York City,NY,10001
248191,AAA Batteries (4-pack),1,2.99,2019-09-22 11:25:00,San Francisco,CA,94016
248192,AAA Batteries (4-pack),2,2.99,2019-09-21 09:16:00,Austin,TX,73301
248193,USB-C Charging Cable,1,11.95,2019-09-05 00:40:00,San Francisco,CA,94016
248194,20in Monitor,1,109.99,2019-09-29 20:50:00,Dallas,TX,75001
248195,ThinkPad Laptop,1,999.99,2019-09-10 23:29:00,Dallas,TX,75001
248196,Lightning Charging Cable,1,14.95,2019-09-29 21:56:00,Dallas,TX,75001
248197,Apple Airpods Headphones,1,150.0,2019-09-02 19:39:00,Portland,OR,97035
248198,AAA Batteries (4-pack),1,2.99,2019-09-10 00:06:00,Portland,OR,97035
248199,Google Phone,1,600.0,2019-09-11 12:47:00,Boston,MA,02215
248200,Lightning Charging Cable,1,14.95,2019-09-28 09:11:00,Atlanta,GA,30301
248201,Bose SoundSport Headphones,1,99.99,2019-09-26 07:40:00,New York City,NY,10001
248202,27in FHD Monitor,1,149.99,2019-09-28 14:30:00,Los Angeles,CA,90001
248203,Apple Airpods Headphones,1,150.0,2019-09-21 08:58:00,New York City,NY,10001
248204,Macbook Pro Laptop,1,1700.0,2019-09-02 18:42:00,Seattle,WA,98101
248205,AA Batteries (4-pack),3,3.84,2019-09-06 14:09:00,Atlanta,GA,30301
248206,AAA Batteries (4-pack),1,2.99,2019-09-30 21:51:00,San Francisco,CA,94016
248207,Flatscreen TV,1,300.0,2019-09-05 14:15:00,Los Angeles,CA,90001
248208,Macbook Pro Laptop,1,1700.0,2019-09-11 19:30:00,Portland,ME,04101
248209,Apple Airpods Headphones,1,150.0,2019-09-14 20:38:00,San Francisco,CA,94016
248210,iPhone,1,700.0,2019-09-27 10:33:00,San Francisco,CA,94016
248210,Lightning Charging Cable,1,14.95,2019-09-27 10:33:00,San Francisco,CA,94016
248211,AA Batteries (4-pack),1,3.84,2019-09-26 09:09:00,San Francisco,CA,94016
248212,USB-C Charging Cable,3,11.95,2019-09-20 16:34:00,Boston,MA,02215
248213,27in 4K Gaming Monitor,1,389.99,2019-09-22 19:52:00,Los Angeles,CA,90001
248214,Lightning Charging Cable,1,14.95,2019-09-16 17:51:00,San Francisco,CA,94016
248215,34in Ultrawide Monitor,1,379.99,2019-09-24 13:36:00,San Francisco,CA,94016
248216,AAA Batteries (4-pack),1,2.99,2019-09-19 16:43:00,San Francisco,CA,94016
248217,Apple Airpods Headphones,1,150.0,2019-09-29 11:54:00,Boston,MA,02215
248218,AA Batteries (4-pack),1,3.84,2019-09-16 20:56:00,New York City,NY,10001
248219,Bose SoundSport Headphones,1,99.99,2019-09-24 12:48:00,Los Angeles,CA,90001
248219,Google Phone,1,600.0,2019-09-24 12:48:00,Los Angeles,CA,90001
248220,Lightning Charging Cable,2,14.95,2019-09-18 10:33:00,San Francisco,CA,94016
248221,AA Batteries (4-pack),1,3.84,2019-09-08 07:13:00,Los Angeles,CA,90001
248222,Lightning Charging Cable,1,14.95,2019-09-22 22:10:00,San Francisco,CA,94016
248223,20in Monitor,1,109.99,2019-09-07 20:39:00,Seattle,WA,98101
248224,AAA Batteries (4-pack),2,2.99,2019-09-24 14:36:00,New York City,NY,10001
248225,Lightning Charging Cable,1,14.95,2019-09-30 13:11:00,San Francisco,CA,94016
248226,Wired Headphones,1,11.99,2019-09-23 17:50:00,Boston,MA,02215
248227,Lightning Charging Cable,1,14.95,2019-09-07 17:23:00,Austin,TX,73301
248228,Lightning Charging Cable,1,14.95,2019-09-26 19:18:00,Boston,MA,02215
248229,Wired Headphones,1,11.99,2019-09-08 22:29:00,San Francisco,CA,94016
248230,AA Batteries (4-pack),1,3.84,2019-09-14 23:11:00,San Francisco,CA,94016
248231,Flatscreen TV,1,300.0,2019-09-20 11:14:00,Los Angeles,CA,90001
248232,Lightning Charging Cable,1,14.95,2019-09-11 05:25:00,Los Angeles,CA,90001
248233,AAA Batteries (4-pack),1,2.99,2019-09-28 12:24:00,Dallas,TX,75001
248234,34in Ultrawide Monitor,1,379.99,2019-09-05 10:46:00,San Francisco,CA,94016
248235,Lightning Charging Cable,1,14.95,2019-09-26 20:16:00,San Francisco,CA,94016
248236,Lightning Charging Cable,1,14.95,2019-09-13 15:34:00,Boston,MA,02215
248237,Wired Headphones,1,11.99,2019-09-23 22:15:00,New York City,NY,10001
248238,Wired Headphones,1,11.99,2019-09-04 12:59:00,Los Angeles,CA,90001
248239,Wired Headphones,1,11.99,2019-09-13 21:31:00,Los Angeles,CA,90001
248240,AAA Batteries (4-pack),1,2.99,2019-09-28 15:16:00,San Francisco,CA,94016
248241,AA Batteries (4-pack),2,3.84,2019-09-22 16:12:00,Seattle,WA,98101
248242,Lightning Charging Cable,2,14.95,2019-09-13 19:21:00,San Francisco,CA,94016
248243,USB-C Charging Cable,1,11.95,2019-09-04 10:49:00,San Francisco,CA,94016
248244,Lightning Charging Cable,1,14.95,2019-09-21 16:01:00,Dallas,TX,75001
248245,Wired Headphones,1,11.99,2019-09-15 10:40:00,Dallas,TX,75001
248246,Wired Headphones,1,11.99,2019-09-11 20:13:00,Los Angeles,CA,90001
248247,27in 4K Gaming Monitor,1,389.99,2019-09-09 23:35:00,New York City,NY,10001
248248,Apple Airpods Headphones,1,150.0,2019-09-14 15:12:00,New York City,NY,10001
248249,AA Batteries (4-pack),1,3.84,2019-09-10 16:32:00,Seattle,WA,98101
248250,iPhone,1,700.0,2019-09-05 18:09:00,Seattle,WA,98101
248251,Vareebadd Phone,1,400.0,2019-09-22 05:16:00,Dallas,TX,75001
248252,AA Batteries (4-pack),1,3.84,2019-09-19 01:13:00,Dallas,TX,75001
248253,Bose SoundSport Headphones,1,99.99,2019-09-13 20:41:00,Atlanta,GA,30301
248254,AAA Batteries (4-pack),2,2.99,2019-09-19 18:35:00,San Francisco,CA,94016
248255,Bose SoundSport Headphones,1,99.99,2019-09-02 12:37:00,Seattle,WA,98101
248256,Wired Headphones,1,11.99,2019-09-03 16:37:00,San Francisco,CA,94016
248257,USB-C Charging Cable,2,11.95,2019-09-10 09:51:00,Boston,MA,02215
248258,Macbook Pro Laptop,1,1700.0,2019-09-21 09:57:00,Los Angeles,CA,90001
248259,USB-C Charging Cable,1,11.95,2019-09-14 20:33:00,Los Angeles,CA,90001
248260,Apple Airpods Headphones,1,150.0,2019-09-26 15:16:00,Portland,ME,04101
248261,AAA Batteries (4-pack),2,2.99,2019-09-04 06:21:00,San Francisco,CA,94016
248262,20in Monitor,1,109.99,2019-09-11 11:44:00,Seattle,WA,98101
248263,34in Ultrawide Monitor,1,379.99,2019-09-30 05:37:00,New York City,NY,10001
248264,Bose SoundSport Headphones,1,99.99,2019-09-05 19:59:00,Dallas,TX,75001
248265,Vareebadd Phone,1,400.0,2019-09-24 14:07:00,San Francisco,CA,94016
248265,Bose SoundSport Headphones,1,99.99,2019-09-24 14:07:00,San Francisco,CA,94016
248266,27in 4K Gaming Monitor,1,389.99,2019-09-28 23:20:00,Dallas,TX,75001
248267,Macbook Pro Laptop,1,1700.0,2019-09-09 18:59:00,Los Angeles,CA,90001
248268,Lightning Charging Cable,1,14.95,2019-09-25 17:54:00,Los Angeles,CA,90001
248269,Lightning Charging Cable,1,14.95,2019-09-18 22:23:00,Atlanta,GA,30301
248270,USB-C Charging Cable,1,11.95,2019-09-08 11:04:00,San Francisco,CA,94016
248271,34in Ultrawide Monitor,1,379.99,2019-09-09 15:33:00,Boston,MA,02215
248272,ThinkPad Laptop,1,999.99,2019-09-01 11:11:00,Dallas,TX,75001
248273,AA Batteries (4-pack),1,3.84,2019-09-02 08:09:00,Seattle,WA,98101
248274,AA Batteries (4-pack),1,3.84,2019-09-27 21:49:00,Boston,MA,02215
248275,Apple Airpods Headphones,1,150.0,2019-09-18 19:05:00,Dallas,TX,75001
248276,iPhone,1,700.0,2019-09-22 17:13:00,New York City,NY,10001
248277,Macbook Pro Laptop,1,1700.0,2019-09-28 12:58:00,New York City,NY,10001
248278,Wired Headphones,1,11.99,2019-09-09 13:02:00,Dallas,TX,75001
248279,Bose SoundSport Headphones,1,99.99,2019-09-25 22:43:00,Atlanta,GA,30301
248280,27in FHD Monitor,1,149.99,2019-09-30 15:16:00,Los Angeles,CA,90001
248281,Wired Headphones,1,11.99,2019-09-05 16:19:00,Los Angeles,CA,90001
248282,Apple Airpods Headphones,1,150.0,2019-09-01 22:13:00,Boston,MA,02215
248283,Apple Airpods Headphones,1,150.0,2019-09-10 14:13:00,Atlanta,GA,30301
248284,27in 4K Gaming Monitor,1,389.99,2019-09-22 04:36:00,Los Angeles,CA,90001
248285,Apple Airpods Headphones,1,150.0,2019-09-30 21:10:00,Portland,OR,97035
248286,Wired Headphones,1,11.99,2019-09-17 22:10:00,New York City,NY,10001
248287,Bose SoundSport Headphones,1,99.99,2019-09-26 12:02:00,Portland,OR,97035
248288,Bose SoundSport Headphones,1,99.99,2019-09-02 09:11:00,San Francisco,CA,94016
248289,Wired Headphones,1,11.99,2019-09-11 12:35:00,Dallas,TX,75001
248290,AA Batteries (4-pack),1,3.84,2019-09-06 21:18:00,San Francisco,CA,94016
248291,Apple Airpods Headphones,1,150.0,2019-09-14 10:31:00,San Francisco,CA,94016
248292,Wired Headphones,2,11.99,2019-09-16 13:00:00,San Francisco,CA,94016
248293,Macbook Pro Laptop,1,1700.0,2019-09-02 16:53:00,New York City,NY,10001
248294,Macbook Pro Laptop,1,1700.0,2019-09-07 17:08:00,Portland,OR,97035
248295,Macbook Pro Laptop,1,1700.0,2019-09-26 23:33:00,San Francisco,CA,94016
248296,AA Batteries (4-pack),1,3.84,2019-09-17 16:39:00,Boston,MA,02215
248297,AAA Batteries (4-pack),2,2.99,2019-09-08 00:07:00,San Francisco,CA,94016
248298,AA Batteries (4-pack),1,3.84,2019-09-20 21:15:00,Atlanta,GA,30301
248299,Lightning Charging Cable,1,14.95,2019-09-22 20:16:00,Portland,OR,97035
248300,AAA Batteries (4-pack),1,2.99,2019-09-01 16:57:00,Boston,MA,02215
248301,AAA Batteries (4-pack),2,2.99,2019-09-05 10:38:00,New York City,NY,10001
248302,27in 4K Gaming Monitor,1,389.99,2019-09-08 08:52:00,Boston,MA,02215
248303,20in Monitor,1,109.99,2019-09-17 19:50:00,Dallas,TX,75001
248304,AAA Batteries (4-pack),1,2.99,2019-09-21 09:10:00,Atlanta,GA,30301
248305,Lightning Charging Cable,1,14.95,2019-09-01 13:05:00,Boston,MA,02215
248306,USB-C Charging Cable,1,11.95,2019-09-15 13:44:00,New York City,NY,10001
248307,Wired Headphones,1,11.99,2019-09-04 20:15:00,San Francisco,CA,94016
248308,27in 4K Gaming Monitor,1,389.99,2019-09-12 18:10:00,Los Angeles,CA,90001
248309,iPhone,1,700.0,2019-09-07 14:27:00,Seattle,WA,98101
248310,iPhone,1,700.0,2019-09-05 21:00:00,Austin,TX,73301
248311,AA Batteries (4-pack),1,3.84,2019-09-21 18:09:00,Los Angeles,CA,90001
248312,USB-C Charging Cable,1,11.95,2019-09-14 16:29:00,New York City,NY,10001
248313,Lightning Charging Cable,1,14.95,2019-09-25 16:39:00,Los Angeles,CA,90001
248314,Wired Headphones,1,11.99,2019-09-20 14:54:00,Atlanta,GA,30301
248315,Wired Headphones,1,11.99,2019-09-13 09:07:00,San Francisco,CA,94016
248316,Lightning Charging Cable,1,14.95,2019-09-15 16:11:00,San Francisco,CA,94016
248317,AAA Batteries (4-pack),1,2.99,2019-09-17 18:35:00,Portland,ME,04101
248318,Google Phone,1,600.0,2019-09-24 12:43:00,Austin,TX,73301
248319,AAA Batteries (4-pack),3,2.99,2019-09-03 14:58:00,Seattle,WA,98101
248320,Apple Airpods Headphones,1,150.0,2019-09-10 22:49:00,Atlanta,GA,30301
248321,Bose SoundSport Headphones,1,99.99,2019-09-08 00:42:00,Seattle,WA,98101
248322,AA Batteries (4-pack),2,3.84,2019-09-13 15:08:00,San Francisco,CA,94016
248323,Google Phone,1,600.0,2019-09-30 20:36:00,Portland,OR,97035
248323,Bose SoundSport Headphones,1,99.99,2019-09-30 20:36:00,Portland,OR,97035
248324,20in Monitor,1,109.99,2019-09-12 23:11:00,Dallas,TX,75001
248325,Lightning Charging Cable,1,14.95,2019-09-14 16:10:00,San Francisco,CA,94016
248326,Apple Airpods Headphones,1,150.0,2019-09-18 06:53:00,New York City,NY,10001
248327,34in Ultrawide Monitor,1,379.99,2019-09-14 12:05:00,San Francisco,CA,94016
248328,Apple Airpods Headphones,1,150.0,2019-09-26 14:27:00,San Francisco,CA,94016
248329,Vareebadd Phone,1,400.0,2019-09-02 15:56:00,Austin,TX,73301
248329,Wired Headphones,1,11.99,2019-09-02 15:56:00,Austin,TX,73301
248330,AAA Batteries (4-pack),1,2.99,2019-09-12 14:40:00,Seattle,WA,98101
248331,iPhone,1,700.0,2019-09-02 17:38:00,San Francisco,CA,94016
248331,Lightning Charging Cable,1,14.95,2019-09-02 17:38:00,San Francisco,CA,94016
248331,Apple Airpods Headphones,1,150.0,2019-09-02 17:38:00,San Francisco,CA,94016
248332,Apple Airpods Headphones,1,150.0,2019-09-08 11:16:00,Seattle,WA,98101
248333,Flatscreen TV,1,300.0,2019-09-05 16:47:00,Los Angeles,CA,90001
248334,Lightning Charging Cable,1,14.95,2019-09-17 09:40:00,Atlanta,GA,30301
248335,Apple Airpods Headphones,1,150.0,2019-09-17 23:07:00,New York City,NY,10001
248336,Apple Airpods Headphones,1,150.0,2019-09-27 19:52:00,Atlanta,GA,30301
248337,AA Batteries (4-pack),1,3.84,2019-09-08 19:04:00,Portland,OR,97035
248338,USB-C Charging Cable,1,11.95,2019-09-16 10:48:00,Boston,MA,02215
248339,Bose SoundSport Headphones,1,99.99,2019-09-08 21:04:00,San Francisco,CA,94016
248340,AAA Batteries (4-pack),1,2.99,2019-09-13 20:08:00,Seattle,WA,98101
248341,USB-C Charging Cable,1,11.95,2019-09-18 11:39:00,Los Angeles,CA,90001
248342,Apple Airpods Headphones,1,150.0,2019-09-11 00:43:00,New York City,NY,10001
248343,USB-C Charging Cable,1,11.95,2019-09-24 22:33:00,Atlanta,GA,30301
248344,Wired Headphones,1,11.99,2019-09-29 09:48:00,New York City,NY,10001
248345,USB-C Charging Cable,1,11.95,2019-09-30 19:08:00,Atlanta,GA,30301
248346,Lightning Charging Cable,1,14.95,2019-09-06 03:22:00,Los Angeles,CA,90001
248347,AA Batteries (4-pack),1,3.84,2019-09-19 13:30:00,New York City,NY,10001
248348,AA Batteries (4-pack),1,3.84,2019-09-25 12:28:00,San Francisco,CA,94016
248349,Bose SoundSport Headphones,1,99.99,2019-09-05 20:31:00,Boston,MA,02215
248350,iPhone,1,700.0,2019-09-30 19:33:00,Los Angeles,CA,90001
248351,27in 4K Gaming Monitor,1,389.99,2019-09-17 18:32:00,New York City,NY,10001
248352,Macbook Pro Laptop,1,1700.0,2019-09-18 05:26:00,New York City,NY,10001
248353,Wired Headphones,1,11.99,2019-09-11 15:10:00,Atlanta,GA,30301
248354,Macbook Pro Laptop,1,1700.0,2019-09-21 11:54:00,Atlanta,GA,30301
248355,Apple Airpods Headphones,1,150.0,2019-09-23 12:32:00,New York City,NY,10001
248356,USB-C Charging Cable,2,11.95,2019-09-21 15:29:00,San Francisco,CA,94016
248357,Lightning Charging Cable,1,14.95,2019-09-27 19:15:00,Atlanta,GA,30301
248358,USB-C Charging Cable,1,11.95,2019-09-18 01:33:00,Portland,ME,04101
248359,Apple Airpods Headphones,1,150.0,2019-09-27 12:35:00,San Francisco,CA,94016
248360,Bose SoundSport Headphones,2,99.99,2019-09-01 08:46:00,San Francisco,CA,94016
248361,Wired Headphones,1,11.99,2019-09-01 10:09:00,San Francisco,CA,94016
248362,Apple Airpods Headphones,1,150.0,2019-09-26 10:45:00,New York City,NY,10001
248363,34in Ultrawide Monitor,1,379.99,2019-09-29 21:35:00,Los Angeles,CA,90001
248364,27in FHD Monitor,1,149.99,2019-09-13 10:47:00,New York City,NY,10001
248365,Google Phone,1,600.0,2019-09-04 19:37:00,Dallas,TX,75001
248366,Bose SoundSport Headphones,1,99.99,2019-09-29 13:17:00,San Francisco,CA,94016
248367,iPhone,1,700.0,2019-09-29 19:44:00,Atlanta,GA,30301
248368,AAA Batteries (4-pack),3,2.99,2019-09-19 07:55:00,San Francisco,CA,94016
248369,USB-C Charging Cable,1,11.95,2019-09-02 21:35:00,Los Angeles,CA,90001
248370,34in Ultrawide Monitor,1,379.99,2019-09-07 09:40:00,Seattle,WA,98101
248371,Wired Headphones,1,11.99,2019-09-14 09:50:00,Boston,MA,02215
248372,Lightning Charging Cable,1,14.95,2019-09-09 20:39:00,Atlanta,GA,30301
248373,USB-C Charging Cable,1,11.95,2019-09-02 13:48:00,New York City,NY,10001
248374,AA Batteries (4-pack),1,3.84,2019-09-20 20:35:00,San Francisco,CA,94016
248375,AA Batteries (4-pack),2,3.84,2019-09-03 12:37:00,Boston,MA,02215
248376,20in Monitor,1,109.99,2019-09-22 15:14:00,San Francisco,CA,94016
248377,USB-C Charging Cable,1,11.95,2019-09-13 14:05:00,Los Angeles,CA,90001
248378,Lightning Charging Cable,1,14.95,2019-09-12 06:19:00,Los Angeles,CA,90001
248379,AAA Batteries (4-pack),1,2.99,2019-09-29 13:31:00,Portland,ME,04101
248380,AAA Batteries (4-pack),1,2.99,2019-09-28 16:09:00,New York City,NY,10001
248381,Bose SoundSport Headphones,1,99.99,2019-09-29 14:51:00,San Francisco,CA,94016
248381,34in Ultrawide Monitor,1,379.99,2019-09-29 14:51:00,San Francisco,CA,94016
248382,AAA Batteries (4-pack),1,2.99,2019-09-10 20:08:00,San Francisco,CA,94016
248383,Wired Headphones,1,11.99,2019-09-14 23:15:00,Boston,MA,02215
248384,20in Monitor,1,109.99,2019-09-17 12:48:00,San Francisco,CA,94016
248385,AAA Batteries (4-pack),1,2.99,2019-09-10 09:33:00,San Francisco,CA,94016
248386,Wired Headphones,1,11.99,2019-09-06 15:27:00,New York City,NY,10001
248387,AAA Batteries (4-pack),1,2.99,2019-09-02 13:32:00,Los Angeles,CA,90001
